ANID;n;Typology;GoupCode_Tipo;Calcareous;CG;Chronology;Site;GroupCode_Site;Form;Al2O3;P2O5;Rb;Sr;Pb;Sn;Zr;Nb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;Th;U;Na2O;MgO;SiO2;K2O;CaO;TiO2;V;Cr;MnO;Fe2O3;Co;Ni;Cu;Zn
LOG016;11;otro;Hospital Viejo;A;A;1290-1350;UE317;A;indeterminada;41,457;0,251;162;459;84,7;5,22;192;19,8;24,2;544;59,5;123;12,37;49,53;9,81;1,88;9,4;1,01;5,81;1,05;3,12;0,53;3,19;0,45;2,86;1,18;10,17;3,22;0,72;2,29;42,2;3,32;10,014;0,839;142;105;0,039;7,95;25,3;63;13;100
LOG017;12;otro;Hospital Viejo;A;A;1290-1350;UE317;A;indeterminada;38,883;0,257;156;467;392;4,78;198;19,4;22,1;544;58;118;11,93;48,84;9,46;1,8;9,08;1,01;5,76;1,05;2,99;0,48;3,02;0,42;3;1,15;10,72;3,22;0,67;2,35;42,6;3,24;10,311;0,855;138;111;0,04;7,77;20,9;66;8;99
LOG018;13;otro;Hospital Viejo;A;A;1290-1350;UE317;A;indeterminada;41,326;0,294;171;497;70,3;5,64;192;20,6;26,1;584;60,4;125;12,65;50,58;9,7;1,98;9,38;1,06;5,87;1,11;3,03;0,52;3,19;0,44;2,93;1,23;11,05;3,35;0,75;2,35;43,8;3,54;9,825;0,857;146;109;0,038;7,95;21,9;86;11;126
LOG019;14;otro;Hospital Viejo;A;A;1290-1350;UE317;A;Jarro;35,57;0,543;164;496;50;5,78;224;19,5;26,2;640;58,2;120;11,99;48,19;9,72;1,86;9,27;1,03;5,98;1,08;3,13;0,54;3,22;0,45;3,24;1,21;10,52;3,19;0,64;1,75;42,3;3,22;7,929;0,813;132;124;0,044;6,97;17,5;75;19;103
LOG020;15;otro;Hospital Viejo;A;A;1290-1350;UE317;A;Jarro;38,397;0,271;162;558;49,9;5,62;190;19,7;23,4;580;58,9;121;12,24;47,59;9,69;1,85;9,07;1;5,78;1,01;3,02;0,48;3,04;0,43;2,88;1,2;10,79;3,28;0,7;2,22;42,3;3,51;10,019;0,845;140;110;0,038;7,86;21,4;82;9;114
LOG021;16;otro;Hospital Viejo;A;A;1290-1350;UE317;A;Olla;16,772;0,208;133;168;64,6;5,14;330;17;25,1;520;46,3;95;9,92;38,48;7,82;1,53;8,09;0,95;5,58;1,05;2,98;0,51;3;0,44;4,58;1,1;9,15;2,45;0,77;1,04;51;2,41;4,24;0,776;80;71;0,041;4,73;16,2;60;9;91
LOG022;17;otro;Hospital Viejo;A;A;1290-1350;UE317;A;Olla;18,651;0,227;127;224;59,8;5,78;379;17,4;21,5;509;47,5;98;9,93;39,4;8,19;1,59;8,12;0,94;5,7;1,06;3,04;0,56;3,12;0,48;5,23;1,14;9,31;2,67;0,7;1,05;53,1;2,36;5,058;0,764;80;90;0,043;6,03;16;88;29;79
LOG023;18;otro;Hospital Viejo;A;A;1290-1350;UE317;A;Olla;19,014;0,283;129;217;65;4,9;340;17,8;22,2;531;47;96;10;38,26;7,96;1,55;7,82;0,94;5,42;1,03;2,98;0,5;3,1;0,45;4,84;1,14;9,22;2,51;0,72;1,11;51,9;2,42;4,467;0,767;81;72;0,037;4,85;14,2;64;12;82
LOG026;19;otro;Hospital Viejo;A;A;1290-1350;UE267;A;indeterminada;28,184;0,221;149;313;843,6;4,8;278;18,9;24,6;547;53,8;110;11,26;43,5;9,07;1,8;8,8;1;5,88;1,07;3,08;0,55;3,2;0,47;4,07;1,17;10,1;2,94;0,69;1,73;46,3;2,96;7,266;0,8;118;90;0,035;6,53;18,6;81;9;100
LOG030;20;otro;Hospital Viejo;A;A;1290-1350;UE317;A;atifle;36,89;0,302;152;629;3185,2;5,96;195;20;21,6;574;57,2;119;12,15;46,86;9,52;1,88;9,02;1,05;5,75;1,04;3,01;0,53;3,04;0,44;2,87;1,22;10,44;2,91;0,8;2,21;40,1;3,15;9,939;0,767;113;106;0,044;8,27;18,8;100;43;98
LOG031;21;otro;Hospital Viejo;A;A;1290-1350;UE317;A;atifle;38,414;0,257;152;448;1153,3;4,87;185;20,2;21,3;546;58;119;12,25;47,6;9,55;1,83;9,05;1,04;5,69;1;2,94;0,5;3,05;0,43;2,77;1,2;10,35;3,05;0,61;2,1;37,4;2,97;8,592;0,776;126;95;0,031;7,07;24,3;84;10;97
LOG032;22;otro;Hospital Viejo;A;A;1290-1350;UE317;A;atifle;24,545;0,403;140;780;5481,4;49,2;280;19,1;15,5;659;48,3;98;10,31;39,84;8,27;1,62;7,96;0,97;5,5;0,97;2,86;0,49;2,93;0,44;4,06;1,05;9,26;2,33;0,72;3,03;42,9;2,31;14,887;0,731;80;71;0,062;5,53;18,7;69;711;93
LOG033;23;Elementos de produccion;Hospital Viejo;A;A;1466-1500;UE165;A;atifle;22,18;0,28;132;677;1727,8;48,77;222;17,8;17,6;517;44;91;9,56;37,9;7,67;1,45;7,43;0,89;5,25;0,93;2,76;0,47;2,87;0,42;3,29;1,09;8,49;2,93;0,65;1,77;38,2;2,81;12,83;0,628;83;65;0,042;5,36;16,1;63;28;93
LOG034;24;Elementos de produccion;Hospital Viejo;A;A;1100-1300;UE223;A;atifle;24,638;0,322;154;632;1115,6;5,68;233;18,1;22,8;556;46,6;96;10,08;39,26;8,03;1,56;7,74;0,96;5,35;0,94;2,84;0,51;2,92;0,42;3,53;1,1;9,32;2,97;0,86;1,98;41,1;3,01;12,813;0,675;86;73;0,053;5,87;20,7;65;52;83
LOG035;25;Elementos de produccion;Hospital Viejo;A;A;1466-1500;UE312;A;atifle;19,504;0,236;119;1024;362,1;4,69;188;15,8;13,4;435;38,2;78;8,19;31,88;6,3;1,2;6,19;0,74;4,28;0,76;2,16;0,42;2,22;0,33;2,82;1;7,65;2,5;1,06;2,16;39,9;2,37;19,703;0,627;91;71;0,03;4,82;14,3;66;15;135
LOG036;26;otro;Hospital Viejo;A;A;1466-1500;UE281;A;indeterminada;20,575;0,263;136;499;157,7;4,72;208;16,1;18,6;509;43,7;91;9,32;36,79;7,52;1,43;7,14;0,83;4,88;0,87;2,52;0,45;2,62;0,38;3,12;0,98;8,49;2,6;0,64;1,61;46,7;2,99;12,057;0,598;100;71;0,034;5,01;14,2;51;35;93
LOG037;27;otro;Hospital Viejo;A;A;1433-1466;UE273;A;Cuenco;29,214;0,989;149;901;2585,9;8,01;183;18,8;22,1;891;46,9;97;9,87;38,3;7,53;1,53;7,17;0,84;4,85;0,88;2,55;0,42;2,59;0,37;2,67;1,19;9,24;3,6;1,46;5,13;38,3;2,62;12,725;0,71;111;88;0,069;5,84;25,8;68;18;101
LOG038;28;otro;Hospital Viejo;A;A;1100-1300;UE221;A;Cuenco;14,077;0,389;80;644;2580,3;22,31;252;16,3;6,4;487;41,4;80;8,76;34,84;6,97;1,36;7,23;0,86;5,25;0,94;2,75;0,5;2,8;0,39;3,61;1,01;7,64;2,46;0,36;2,53;39,8;2,39;23,797;0,673;75;62;0,057;4,71;18,4;49;161;83
LOG039;29;otro;Hospital Viejo;A;A;1100-1300;UE221;A;Cuenco;21,284;0,344;98;398;3664,8;21,24;292;18,7;9,8;714;48,2;98;10,07;39,32;7,91;1,6;8;0,94;5,79;1,04;3;0,55;3,16;0,46;4,15;1,03;9,1;2,41;1,36;3,06;45,3;1,48;15,797;0,831;86;72;0,052;5,5;17;50;33;96
LOG040;30;otro;Hospital Viejo;A;A;1433-1466;UE252;A;Cuenco;26,766;0,27;163;586;3091,9;29,84;192;17,2;24,3;575;45,3;93;9,62;37,69;7,82;1,41;7,26;0,83;5,03;0,94;2,54;0,45;2,64;0,37;2,88;1,15;9,22;3,05;2,09;3,92;39,8;1,73;12,843;0,711;94;102;0,066;6,36;16,1;71;59;101
LOG041;31;otro;Hospital Viejo;A;A;1400-1433;UE225;A;Cuenco;26,068;0,513;146;855;4589,7;22,12;179;17,5;21,4;695;45;93;9,7;37,37;7,54;1,43;7,34;0,81;5;0,86;2,48;0,44;2,72;0,37;2,77;1,07;8,95;3,23;1,7;6,44;39,2;1,94;14,191;0,706;106;83;0,062;5,73;20,2;62;114;93
LOG042;32;otro;Hospital Viejo;A;A;1433-1466;UE252;A;Cuenco;28,652;0,339;193;267;966,2;122,02;226;19;30;612;43,6;90;9,24;37,03;7,63;1,38;7,37;0,86;5,18;0,98;2,7;0,48;2,76;0,43;3,28;1,36;8,59;2,37;0,29;1,66;48;3,86;7,825;0,729;86;71;0,031;5,9;28,2;67;118;480
LOG043;33;otro;Hospital Viejo;A;A;1400-1433;UE288;A;Cuenco;24,381;0,208;179;191;1677,2;26,67;235;18,3;27,1;540;42,5;87;9,29;37,49;7,24;1,35;7,25;0,89;5,32;0,95;2,65;0,47;2,87;0,42;3,42;1,33;8,42;2,41;0,29;1,5;48,7;3,39;8,204;0,687;82;61;0,03;5,29;24,7;63;269;84
LOG044;34;otro;Hospital Viejo;A;A;1400-1433;UE288;A;Cuenco;29,766;0,225;196;206;869,8;40,02;224;18,7;32,5;571;43,7;90;9,44;37,29;7,65;1,4;7,54;0,91;5,53;0,95;2,81;0,48;2,81;0,43;3,27;1,33;8,51;2,46;0,34;1,72;46,6;3,62;8,996;0,709;89;121;0,048;8,46;23,4;102;164;80
LOG045;35;otro;Hospital Viejo;A;A;1433-1466;UE252;A;Cuenco;25,671;0,261;178;330;970,9;13,12;221;18,9;27,8;563;44,7;91;9,71;38,91;8;1,4;7,57;0,89;5,32;0,97;2,78;0,47;2,85;0,44;3,11;1,31;8,11;2,42;0,32;1,65;47,8;3,36;9,752;0,715;85;67;0,024;5,4;16;77;49;149
LOG046;36;otro;Hospital Viejo;A;A;1400-1433;UE225;A;plato;14,818;0,652;112;501;2526,1;76,43;292;18,5;16;564;44,8;92;9,82;39,43;8,22;1,44;7,69;0,92;5,62;1,04;2,95;0,55;3,09;0,49;4,11;1,23;8,68;2,36;0,6;1,9;44,3;2,4;15,38;0,696;76;58;0,051;4,65;20;54;72;86
LOG047;37;otro;Hospital Viejo;A;A;1400-1433;UE225;A;Cuenco;14,026;0,677;89;539;4350,4;24,53;256;17,4;11,3;485;43,1;85;9,28;37,26;7,51;1,32;7,42;0,9;5,44;1,03;2,85;0,5;2,88;0,45;3,68;1,06;7,96;2,67;0,44;2,86;39,6;2,16;19,884;0,656;72;59;0,059;4,54;17,1;55;123;94
LOG048;38;otro;Hospital Viejo;A;A;1400-1433;UE288;A;Cuenco;26,842;0,231;196;224;894,1;21,26;246;18,4;33,9;557;43,4;90;9,45;36,6;7,39;1,4;7,28;0,88;5,38;0,93;2,68;0,46;2,89;0,43;3,55;1,35;8,59;2,52;0,27;1,59;51,1;3,68;8,424;0,72;83;65;0,032;5,47;24,9;52;80;84
LOG049;39;otro;Hospital Viejo;A;A;1100-1300;UE223;A;jarrita;29,157;0,223;149;487;11124,3;5,79;225;19,5;22,6;963;51;105;10,78;42,4;8,47;1,77;8,29;0,96;5,79;1;3,03;0,5;2,96;0,45;3,21;1,2;9,43;3,22;0,87;2,23;42;2,8;11,695;0,749;126;80;0,051;6,46;24,2;57;59;153
LOG050;40;otro;Hospital Viejo;A;A;1350-1400;UE255;A;indeterminada;29,263;0,202;151;293;1094,9;4,45;263;19,8;25,3;531;54;111;11,47;44,52;8,75;1,73;8,51;1;5,86;1,04;3,06;0,55;3,05;0,47;3,72;1,28;9,75;3;0,72;1,76;47,5;2,97;6,624;0,823;129;83;0,035;6,71;43,4;56;6;93
LOG051;41;otro;Hospital Viejo;A;A;1200-1500?;UE280;A;indeterminada;35,966;0,237;156;649;12073,9;4,33;223;19,7;24,5;541;54,8;115;11,79;44,86;8,98;1,82;8,62;0,98;5,83;0,99;2,84;0,5;2,87;0,44;3,38;1,28;10,18;3,12;0,76;2,17;44,3;3,12;10,333;0,797;144;92;0,039;7,34;41,8;597;6;90
LOG052;42;otro;Hospital Viejo;A;A;1350-1400;UE255;A;indeterminada;25,357;0,196;148;336;1038,5;11,45;310;19,4;25,2;530;50,8;105;10,8;42,46;8,35;1,66;8,24;0,99;5,62;1,04;3,1;0,53;3,15;0,49;4,41;1,29;9,96;2,92;0,77;1,66;53,1;3,12;8,19;0,857;109;86;0,049;6,53;31,8;124;43;101
LOG053;43;otro;Hospital Viejo;A;A;1290-1350;UE275;A;jarro;37,293;0,302;157;462;920,7;6,24;193;20,6;20,5;551;58,8;121;12,34;47,99;9,75;1,85;8,83;1,03;5,91;1,03;2,9;0,53;3,03;0,48;2,88;1,25;10,51;3,11;0,8;2,25;46,3;3,55;10,24;0,885;145;111;0,043;8,6;20,3;66;23;99
LOG054;44;otro;Hospital Viejo;A;A;1100-1300;UE221;A;mortero;33,336;0,388;160;561;2169;6,01;231;21;23,2;662;54,5;112;11,46;44,92;8,79;1,88;8,79;1,06;5,99;1,04;3,11;0,51;3,05;0,47;3,29;1,26;10,08;3,28;0,8;2,38;45,8;3,18;12,092;0,793;124;96;0,059;7,04;25,7;62;45;118
LOG055;45;otro;Hospital Viejo;A;A;1290-1350;UE317;A;escudilla;28,782;0,211;152;515;269,6;5,97;199;18,5;20,7;565;48;100;10,28;40,64;8,07;1,62;7,57;0,88;5,31;0,89;2,65;0,46;2,68;0,42;2,87;1,12;9,26;2,83;0,98;1,95;46,3;3,56;11,15;0,664;114;85;0,032;5,83;15,2;52;51;87
LOG056;46;otro;Hospital Viejo;A;A;1433-1466;UE179;A;jarra;28,535;0,201;145;395;144,4;5,31;292;19,7;22,8;561;52,9;108;11,18;44,85;9,18;1,69;8,55;1,01;5,95;1,02;3,09;0,58;3,19;0,48;4,13;1,28;9,65;3,21;0,68;1,58;53;2,94;8,234;0,773;113;85;0,039;6,27;31,7;59;16;88
LOG059;47;otro;Hospital Viejo;A;A;1433-1466;UE179;A;jarra;24,59;0,225;152;262;1285,6;6,25;292;19,3;24,7;537;49,3;101;10,6;42,6;8,85;1,65;8,57;1,04;5,81;1,02;3,13;0,57;3,08;0,49;4,05;1,23;9,11;2,93;0,59;1,64;49,1;2,89;7,083;0,713;89;77;0,044;5,72;27,4;45;14;103
LOG060;48;otro;Hospital Viejo;A;A;1433-1466;UE179;A;copa;26,891;0,241;150;507;313,4;7,06;190;18,5;23,2;559;48,3;99;10,28;41,73;8,35;1,62;8,02;0,92;5,28;0,93;2,7;0,49;2,78;0,42;2,77;1,11;9,26;2,99;0,7;2,21;41,8;3,14;10,723;0,699;110;85;0,057;6,42;26,6;52;25;85
LOG061;49;otro;Hospital Viejo;A;A;1433-1466;UE179;A;Cuenco;32,34;0,254;165;453;3618,5;5,9;231;21,1;25,5;719;54,3;111;11,5;45,92;9,25;1,84;9,05;1,06;6,16;1,06;3,15;0,56;3,06;0,5;3,4;1,25;10,21;3,34;0,7;2,1;43,4;3,19;9,969;0,751;112;90;0,061;6,6;22,5;111;21;89
LOG062;50;otro;Hospital Viejo;A;A;1100-1300;UE221;A;tapadera;23,3;0,299;139;540;3281,9;46,47;209;17,8;22,3;574;45,1;93;9,71;38,84;7,72;1,49;7,73;0,89;5,26;0,92;2,67;0,5;2,64;0,41;2,88;1,1;8,41;2,91;0,76;1,85;39,9;2,64;12,296;0,626;91;75;0,057;5,56;20,8;75;48;234
LOG063;51;otro;Hospital Viejo;A;A;1100-1300;UE221;A;mortero;32,469;0,482;166;523;690,4;6,52;212;20;26,7;686;55,2;113;11,84;46,51;9,33;1,8;8,85;1,04;5,9;1,05;3;0,5;3,05;0,47;3,15;1,16;10,21;3,16;0,67;1,99;41,8;3,14;9,342;0,699;106;84;0,053;6,64;16,5;61;65;112
LOG066;52;otro;Hospital Viejo;A;A;1466-1500;UE296;A;jarra;23,961;0,184;156;459;3999,2;5,53;202;17,4;23,4;537;45,9;95;9,85;39,21;7,93;1,48;7,47;0,9;5,29;0,97;2,7;0,48;2,73;0,43;2,92;1,06;8,62;2,98;1,09;2,19;42,8;2,58;12,202;0,718;120;88;0,054;6,52;16,2;70;26;90
LOG067;53;otro;Hospital Viejo;A;A;1466-1500;UE281;A;pasta;22,431;0,201;135;856;127,1;6,36;200;17,7;18,8;478;42,4;86;8,99;34,88;6,8;1,31;6,63;0,83;4,87;0,86;2,44;0,42;2,48;0,37;3,04;1,07;8,14;2,83;0,74;1,98;41;2,8;17,198;0,623;95;76;0,034;5,37;12,2;64;18;84
LOG068;54;otro;Hospital Viejo;A;A;1466-1500;UE281;A;pasta;21,598;0,207;140;911;120,8;6,12;207;17,4;21,4;505;42,4;87;9,04;35,45;7,02;1,29;6,83;0,8;4,72;0,89;2,42;0,42;2,45;0,36;3,07;1,08;8,48;2,72;0,76;1,94;42,8;3,01;17,708;0,644;92;75;0,043;6,07;13,2;57;35;91
LOG069;55;otro;Hospital Viejo;A;A;1466-1500;UE281;A;pasta;25,537;0,184;162;358;81,1;5,91;203;17,3;25,7;546;49,5;101;10,62;41,02;8,07;1,53;7,7;0,89;5,05;0,92;2,7;0,44;2,62;0,38;2,95;1,03;9,34;2,93;0,85;1,68;48,3;3,56;7,1;0,638;113;75;0,027;5,84;15,1;60;41;98
LOG070;56;otro;Hospital Viejo;A;A;1466-1500;UE281;A;pasta;36,987;0,282;180;493;2748,7;4,88;215;19,9;29,3;612;62,5;128;13,1;51,71;10,64;2,03;9,74;1,06;6,17;1,11;3,09;0,55;3,23;0,45;3,17;1,14;11,35;3,4;0,68;2,16;40,5;3,5;9,367;0,812;151;81;0,04;7,86;18,9;91;8;116
LOG071;57;otro;Hospital Viejo;A;A;1290-1350;UE183;A;Botija;36,815;0,238;165;500;37,6;5,75;180;20,8;25,3;571;60,4;124;12,76;50,51;9,79;1,88;9,39;1,07;5,79;1,09;2,94;0,52;2,98;0,47;2,62;1,23;10,31;3,36;0,67;2,33;44,4;3,58;9,113;0,847;145;83;0,042;8,39;21,3;66;27;95
LOG072;58;otro;Hospital Viejo;A;A;1400-1433;UE288;A;jarro;30,362;0,207;145;418;2222,2;5;190;18,6;21,2;497;53,6;110;11,37;44,69;9,1;1,74;8,55;0,93;5,23;1;2,8;0,49;2,7;0,4;2,83;1,08;10,05;2,93;0,68;2,21;40;3,1;6,927;0,75;146;67;0,034;7,14;32,3;54;123;104
LOG073;59;otro;Hospital Viejo;A;A;1433-1466;UE243;A;plato;33,009;0,218;154;524;5151,2;5,34;177;20;23,2;541;57,5;119;12,16;48,84;10,05;1,9;8,96;1,01;5,68;1,08;3,04;0,52;2,94;0,45;2,48;1,13;9,83;3,04;0,73;2,17;40,5;3,12;10,498;0,773;132;62;0,034;7,21;18,6;50;20;104
LOG074;60;otro;Hospital Viejo;A;A;1400-1433;UE288;A;Cuenco;33,655;0,272;148;440;2650,4;5,18;189;19,6;18,9;573;57,9;120;12,26;47,28;9,76;1,84;9,39;0,97;5,57;1,01;2,91;0,53;2,89;0,43;2,81;1,14;10,49;3,17;0,66;2,19;43;3,27;10,174;0,807;149;71;0,035;7,49;32,9;50;14;110
LOG075;61;otro;Hospital Viejo;A;A;1400-1433;UE288;A;Botija;33,027;0,246;153;470;537,3;5,35;189;19,4;21,5;537;58;119;12,09;48;9,48;1,84;9,31;1,05;5,58;1,04;2,96;0,51;3,06;0,43;2,76;1,12;10,35;3,19;0,73;2,22;39,9;3,21;11,323;0,793;128;73;0,035;7,5;23,4;63;31;103
LOG076;62;otro;Hospital Viejo;A;A;1500-1533;UE182;A;Cuenco;24,251;0,17;173;186;217,2;32,02;227;17,6;24,7;553;40,6;84;8,67;34;6,94;1,32;6,62;0,82;4,76;0,88;2,68;0,44;2,79;0,38;3,27;1,27;8,38;2,29;0,22;1,53;47,5;3,41;8,01;0,677;84;53;0,026;5,64;17,4;38;29;76
LOG077;63;otro;Hospital Viejo;A;A;1400-1433;UE288;A;plato;13,086;0,13;106;57;29,2;5,06;452;16,6;32,5;413;43,4;89;9,42;37,35;7,65;1,38;8,36;1;5,74;1,13;3,24;0,56;3,46;0,49;6,08;1,13;8,8;2,44;0,89;0,78;64,1;2,03;2,789;0,781;69;48;0,003;4,37;16,8;52;30;86
LOG078;64;otro;Hospital Viejo;A;A;1400-1433;UE288;A;plato;14,853;0,124;109;80;33,2;5,8;321;15,6;26,9;424;40,3;83;9,07;36,65;7,82;1,44;8,52;1;5,58;1,09;3,22;0,52;3,22;0,46;4,48;1,02;8,38;2,27;0,8;0,76;57,8;2,15;3,309;0,651;74;66;0,025;5,94;15,7;46;280;94
LOG080;65;otro;Hospital Viejo;A;A;1466-1500;UE281;A;atifle;18,653;0,202;121;965;895,3;6,44;191;15,9;15,4;442;39,8;81;8,29;32,77;6,34;1,19;6,55;0,75;4,17;0,78;2,32;0,39;2,36;0,35;2,98;0,98;7,73;2,77;0,83;1,9;40,6;2,69;20,35;0,593;89;70;0,033;4,89;14,1;44;21;97
LOG081;66;otro;Hospital Viejo;A;A;1433-1466;UE179;A;teja;12,995;0,183;94;2052;432;6,13;131;12,8;9,7;295;26,4;53;5,47;20,74;3,99;0,69;3,83;0,48;2,77;0,49;1,49;0,24;1,49;0,21;2,03;0,83;5,73;2,08;0,76;2,55;32,2;1,94;31,29;0,458;66;66;0,011;3,34;8,2;86;34;102
LOG082;67;otro;Hospital Viejo;A;A;1433-1466;UE179;A;teja;21,957;0,259;134;679;621,9;5,21;213;17,4;19,6;545;45,9;94;9,68;37,68;7,38;1,43;7,95;0,89;5,09;0,96;2,73;0,47;2,8;0,4;3,05;1,03;8,55;3,01;0,66;1,94;44,9;3,32;14,829;0,701;100;68;0,066;5,92;19,2;47;38;106
LOG083;68;otro;Hospital Viejo;A;A;1433-1466;UE179;A;teja;12,568;0,195;113;1805;1670,4;4,12;119;13,4;12,5;349;27,4;54;5,57;21,7;4,02;0,74;3,79;0,48;2,79;0,51;1,44;0,24;1,47;0,23;1,89;0,87;5,58;1,89;0,47;2,62;34;2,16;30,34;0,47;80;68;0,01;3,55;9,9;52;12;82
LOG084;69;otro;Hospital Viejo;A;A;1433-1466;UE179;A;teja;20,921;0,213;138;553;829,8;5,27;203;16,6;21;496;43,8;90;9,36;36,69;7,45;1,41;7,32;0,88;4,99;0,92;2,76;0,46;2,69;0,42;2,95;1,02;7,89;2,75;0,91;1,77;42,5;2,56;12,391;0,684;98;65;0,063;5,63;15,7;53;18;79
LOG085;70;otro;Hospital Viejo;A;A;1433-1466;UE179;A;teja;20,236;0,226;128;1020;636,3;5,41;145;16,6;18;485;39,8;81;8,58;32,87;6,71;1,22;6,5;0,76;4,43;0,82;2,32;0,4;2,42;0,34;2,07;1,06;6,94;2,53;1,02;2,29;41,8;2,18;20,772;0,607;84;77;0,045;5,08;17,3;49;14;80
LOG086;71;otro;Hospital Viejo;A;A;1433-1466;UE286;A;indeterminada;28,556;0,18;154;414;5657,2;5,08;131;18,1;24,7;502;54,1;110;11,53;44,7;9,06;1,59;8,58;0,97;5,59;0,96;2,82;0,48;2,88;0,41;1,83;1,22;8,41;2,94;0,96;2,11;41,1;3,35;8,579;0,796;131;90;0,032;7,09;40,9;63;42;123
LOG087;72;otro;Hospital Viejo;A;A;1466-1500;UE296;A;teja;20,64;0,222;131;726;1959,4;5,39;152;16,5;15,9;509;40,9;84;8,86;34,23;7,01;1,28;6,68;0,77;4,47;0,83;2,39;0,41;2,41;0,36;2,26;1,05;7,32;2,57;0,83;2,15;40;2,52;19,325;0,627;91;70;0,037;5,44;13,8;51;66;88
